	name	comments
148	愚妄之灾	下血本了属于是
149	愚妄之灾	冲冲冲
150	天尊唯我	希望中奖
151	懒鬼得不到幸福	我的了
152	HYL-YQQE	好！抽！
153	我巴也向来战无不胜	抽奖喽
154	夜筠珏	说不定就中奖了[脱单doge]
155	木木大魔王呀	我呀我呀
156	往昔-hain	我直接拉低中奖率好吧[doge]
157	全职学长	兄弟们，干净又卫生哦
158	HONGLINGO	谢谢老板都是我的
159	九月AmbroSept_y	分子
160	碧蓝云海	ohhhh来抽奖了
161	暴走机关车	[咩栗_nya]
162	SkevinKim	来喽来喽
163	这已经不是打牌了	万一[doge]
164	Akadwhat	挺好 转了
165	不哭一场	嘿嘿嘿拉低中奖率
166	给钱也不改名字	求中奖！！！！！！
167	啃笔的小魔王	求一个卡套
168	ScpnKnt	万一呢万一呢
169	跪地30发ak师承py	求
170	跪地30发ak师承py	来了
171	桐生戦兎talent	老板大气[鼓掌]
172	闪击双将	万一呢
173	傲娇的鱼白	来了，万一中呢虽然说抽奖2年就没中过好吧
174	北冰的企鹅君	我超，爹！
175	任阿广	"我要[doge][冰墩墩]
唉我的🐍🐍怎么就禁了，帮我止损吧[妙啊][妙啊][妙啊]"
176	耀丶黑諾	分母
177	耀丶黑諾	万一呢
178	牌佬嘿嘿	万一呢[doge]
179	半世血影	必须必的
180	空白TheSpace	cy
181	空白TheSpace	参与
182	HaP-py	万一呢
183	凉皮一闪而过	冲冲冲！
184	上茗子乐	万一呢
185	ssss超级无敌大怪兽	万一呢，万一呢！
186	风鸣j	希望能中奖
187	Re-EnLink	万一呢
188	鱻头	好家伙  这卡垫属实难得
189	乌纳拉Unalla	万一呢
190	钥白无棱	连开白碎决斗之塔的我已经不可能更颓了[2233娘_大哭]
191	灵唔唔唔唔唔刀	希望能成为分子[打call]
192	文章勿我	希望抽中
193	秋末笙箫	万一呢
194	你完了飞飞	[doge]
195	饕餮luck	来了来了
196	萝卜是榨不出菠萝汁的	涨粉的话还是做点打牌视频比较好
197	ORIKIdesi	那必须是我了[脱单doge]
198	幻天梦灵	中了就当给朋友送的生日礼物[傲娇]
199	樱落無心	是时候拉低中奖率了
200	OCGAX	拉低中奖率了！！
201	安度因会脏死你w	加油呀up
202	云氿゛	试试哦，万一呢
203	那之后c	Up说的对✓，万一呢[歪嘴]
204	奇迹压路机	来一发试试_(:з」∠)_
205	光速制导	一万呢[doge]
206	哈哈哈哈哈了呵呵合金钢	万一呢[doge][doge][doge][doge][doge]
207	我是唯一你是谁	是谁呢[阴险]（拿刀中）
208	宅之咕哒	万一呢[脱单doge]
209	哲的第七章	支持一下[虎年]
210	保底怪才	[吃瓜][吃瓜][吃瓜]
211	沐风369	一键三连少不了
212	沐风369	抽完了么
213	踏月邀星海	来了
214	巴尔坦星人NO1	万一呢
215	是谪仙呀QAQ	万一呢
216	玉衡星-刻睛	一万一万一万一呢？[doge]
217	JK御言	一键三连
218	立華响	分母参见
219	两儀丿式	万一呢
220	月宫かがみ	万一呢
221	水曜日-sayobi	[2233娘_大笑]掏狗前来抽奖
222	lucky小小	万一呢
223	小丑的疯狂233	万一呢？
224	闭宿	万一呢
225	休_红	fenm
226	凤凰人不想吃墓指	我来试试
227	super路路子	万一呢[doge]
228	どバカ草鱼	我直接反手一个拉低概率[doge]
229	小黑Nagisatabris	万一呢？
230	亚洲烨王	万一呢
231	black丶death丶gun	万一中了呢
232	壹原桑	好
233	健豪2333333	万一呢？不可能吧
234	灰灰灰qaq	ssb啊，当时出魔妖的时候心态有点崩，试试这次能不能欧一回中[doge]
235	咸鱼中的铁憨憨	万一呢
236	爪巴向雪中	万一呢[doge]
237	初零夜	开玩笑我超勇的
238	恶霸伍六七	哈哈哈万一呢
239	风-暴-	万一呢[doge]
240	燕词穷	蹲个卡套万一呢[doge]
241	晓墨です	万一呢
242	-那是我在笑	黑魔术少女[打call][打call][打call]
243	Ragnaros_Ill	万一呢
244	丶半揽星护月	分母来了
245	岛市老太	但凡疫情没了去一次上海
246	徵声	万一呢兄弟萌[藏狐][妙啊][doge]
247	飞机起飞丶	冲冲冲
248	岛市老太	如果我有这运气的话，也不至于抽几个就颓
249	魔王撒旦布欧	牛蛙
250	笔名叫阿莲呐	抽！
251	HanasakiSaya	111真送吗大哥[doge]
252	小吱麻	是不是来晚啦？
253	黑色年华22	抽我抽我
254	虞姬摸虞	万一呢
255	啥都会一点的poijopo	万一呢
256	腦袋有問題的紅魔女孩	立马关注参与抽奖
257	ki呆鸡	我要黑魔女
258	九九九九九龙	万一呢
259	指挥官烟鹤	万一。。。。呢[doge]
260	最爱吃柚子i	现在店里去了就有货吗，还要预约吗
261	梁月的鱼	万一呢。
262	无所畏惧的学渣	那必须是我啦[doge]
263	进击的面包-	冲冲冲[嗑瓜子][嗑瓜子][嗑瓜子]
264	初遇见你的心	可以做分子吗[doge]
265	mm喵呜ww	我tm来啦 直接关注三连[Hiiro二周年_击剑]
266	人家那么可爱	想要中大奖三连少不了[doge]
267	初遇见你的心	万一呢[doge]
268	普通的物种	万一呢[tv_doge]
269	爱妹无双	留言转发了 球中
270	一只鸽子	万一呢
271	夜の寒	想中
272	橘橘的奇妙冒险	想要卡垫歪日
273	Nora丶Robo	居合抽卡，注定一抽！
274	MJkazuya	[doge]
275	家伙君	我tm莱纳！
276	EninaMio	希望能抽到我老婆[doge]
277	若欧都蒙了	万一
278	青龙池	万一呢
279	别叫我小羽毛	希望up越做越好吧
280	失去梦想的五岁儿童	万一呢
281	不和重坑玩	万一呢？
282	织田作好吗	提前谢谢老板
283	八月迎风而起	[热词系列_三连]中
284	白帽猫	快看我！快看我！
285	土木杉	万一呢
286	LSJ699	冲
287	土豆神IUO	万一呢
288	铜纸板	[热词系列_知识增加]
289	夏王祥	想要抽奖，三连关注少不了（我都给了[doge]）
290	泠风游渊	兄弟们，赶紧关注下宝藏up主
291	ygdgge	好耶
292	泠风游渊	卡套不嫌多
293	炽焰魔神	[脱单doge]来了
294	彤彤的小迷粉	[吃瓜][吃瓜][吃瓜]
295	彤彤的小迷粉	三连了，好起来了，你这不直接站起来了吗
296	DL六花	万一呢
297	c哩果味	[给心心]
298	这个名字被我取了	应该不是我
299	纳米橙	[吃瓜]
300	ceouns	万一呢[doge]
301	阴间再见了	开心就好了
302	好名字都没了kiao	中
303	legna镜世界弓手	想啊，很想啊！
304	龙魂噬者	抽，想要[虎年][虎年]
305	我就是穹批	万一呢万一呢[doge]
306	皮卡秋秋秋秋秋秋	拉低中奖率
307	bili_30059038966	抽我
308	bili_30059038966	zd
309	彼岸花与猫眼石	[doge]好耶
310	水墨银白	已投币3连加关注[脱单doge]
311	七炽	来了
312	拉露酱	万一中咯呢！青眼白龙好评！
313	故人不知君	好耶
314	雨泪梧桐	万一呢[doge]支持up主
315	最爱雷电_	来蹲个卡套
316	-醉落	凑一凑
317	二人は空白	分母来了，等一个万一
318	辉卿之凌	虽然，但是，提前分子了[doge]
319	LSJ699	冲冲冲
320	GNK48-阿豹	[doge]
321	胸怀若霖	好好好！
322	-阿库娅赛高-	万一呢
323	Z-火箭	万一呢[doge]
324	魏雪ovo	万一呢[doge]
325	CZ橙子么么哒	万一呢万一呢！！！
326	消逝_不见	穷的只能玩md的想要入坑实体卡，没钱QAQ
327	世界第一娜娜米	万一呢
328	ツバメ羽	万一呢万一呢[羞羞][羞羞]
329	胡来的西瓜	凑个数[doge]
330	szqdd	抽一下，万一呢[崩坏3_入欧]
331	罗特塞克特	万一中了呢[doge]
332	Repclia_0	万一呢[doge]
333	YuYang_Young	一键三连   关注   转发  万一中了呢[脱单doge]
334	上流野马	万一呢
335	隔壁热心网友小冰	好耶
336	悠筱弈	万一呢（[doge]）
337	盐焗苹果_	我来组成分母，但是万一呢[doge]
338	太厚千睡	万一呢
339	沐头仁a	一万呢[思考]
340	晚比的zhuxiaopi	[珈乐Carol_啵啵][珈乐Carol_啵啵][珈乐Carol_啵啵]
341	琉璃-破碎	万一中了呢
342	吉原愛菜	万一呢
343	冷艳的魁哥	卡套还蛮需要的
344	枫晞零玖	万一呢
345	ChaoswingM	分母
346	论美貌你萝芭输我G7人	虽然没卡让我装在卡套里，但也冲一下，万一中了呢[doge][doge]
347	ChaoswingM	万一呢
348	Ca霜雪星辰	万一呢[doge]
349	入梦寻蕓	许愿，已经颓了那么多盒子，万一中奖了呢
350	信の使	1
351	九重火雨	万一呢
352	伞落花丶	万一捏
353	Trela	万一[doge]
354	牧宸溪	我这种运气绝缘体根本不可能中，中了我跟老八一桌
355	夏故游	来当万一了
356	是小A桑哦	万一呢
357	棋子是你吧	冲冲冲
358	是阿阮呀DESTINY	万一中了这这不就能成为我入坑实卡的第一步了[doge]
359	其实我叫李四	来了
360	清音啊cc	拉低中奖率
361	一颗小魔芋	万一呢[doge]
362	watcher_fxs	不在上海买不到套装黑魔女
363	梓喵x天江衣	我来组成分母，但是万一呢[doge]
364	Keephell	我想挑战一下我的软肋[doge]
365	死生丨契阔	来了来了，今天开始抽奖！
366	杏仁布丁水果茶	万一呢
367	方长现在很慌	万一呢
368	Blazal	来了来了
369	一铯	万一内[给心心][给心心]
370	秋物明	试图进行万一呢？[傲娇]
371	海乃34	拉低中奖率[藏狐]
372	平安v圈	试试
373	姜尼叶	万一呢
374	瘦帅骚闪刑之平	不会吧
375	张雨哈	万一
376	Christopher47	诶嘿感觉有可能[脱单doge]
377	折辰丶	万一呢
378	泗鵺	[热词系列_三连]
379	我是彩笔请勿喷	求中呜呜呜，中了就入坑，看实卡看半年都不敢入，只能在md玩下的屑菜b
380	茶茶煲汤	万一呢[doge]
381	守忆的摆渡人	希望能中[doge][羞羞]
382	宇宙嘤雄笠笠笠	让一让，分母来了
383	无人选之人	虽然知道自己是绝缘体但还是试一下
384	VEV7	拉低中奖率[脱单doge]
385	上帝是个中二病	中了确实可以考虑去牌店玩实卡[doge]
386	扩散性干也	万一呢
387	矛盾综合体破	由我组成分母
388	幻想改命的小肥啾	万万一呢？_(:з」∠)_
389	薛定谔的蛋黄派	虽然知道自己是分子，但还是想试试[冰墩墩]
390	五河琴里ア	万一捏
391	酷炫狂拽龙少爷	坟墓来啦啊哈哈哈哈哈[doge]
392	ayamei绫女	给力！试试就试试！
393	枫叶欲飞	[OK]已经签订契约[OK]
394	瀚海座	万一呢
395	程序_辰砂	来了
396	你-也要过饭	冲冲，三连走起
397	枫叶欲飞	[OK]求中，中了就入坑[星星眼]
398	CoCo喲	冲了
399	妮妮呢喃呢	万一呢
400	CoCo喲	冲
401	角落里的乌漆墨黑	忘了关注点上了，再来一条
402	稚井户	万一呢
403	角落里的乌漆墨黑	万一呢[脱单doge]
404	ktala	试试
405	塞巴得啦贡呼呼呼	万一
406	传奇雷电之王	万一呢
407	_粉红发霉章鱼头	冲
408	铃兰HanA	许愿！
409	墨雨染离梦	[doge][热词系列_三连]
410	云端的世界里	奖
411	橋場恭也	我的了
412	岩谷尚文盾之勇者	拉低中奖率[脱单doge]
413	岩谷尚文盾之勇者	万一呢[脱单doge]
414	24h-lemon	也许呢
415	24h-lemon	组成分子
416	蠢田蠢田不蠢	总要试试[doge]
417	星之天谴	万一呢
418	恒定之时	万一呢
419	飞思力	求中
420	不会取名怎么办啊	看到这个黑魔术少女的套装我就想起那天悲伤的回忆，那天去官店买卡打牌，到那里发现在贩卖这套黑魔术少女的套装，因为疫情不让打牌，买了三盒hc01也不让在店里开，最后去楼下星巴克开的三盒，连把剪刀都没有一包包都是手撕的，开了两个半小时还都颓了，三盒白碎分别是真红之魂，命运的囚人和决斗塔，最关键的是我4个月前出过车祸右侧小腿骨折打了钢钉进去，当天牌瘾犯了还是拄着拐杖走过去的，回来时因为走路太多又在隐隐作痛，实在是倒霉的一天[大哭]
421	空牙人	也许呢
422	靓草	我的黑魔女没有预约到。
423	官人好凶残	反正和我没啥关系 大数据使我成为分母
424	丰寸寿	加1
425	好处vj	万一呢？
426	流碎碎碎丶	[热词系列_好耶]
427	暮烟诗	我来组成分母。。。。。。
428	小蕾子official	[doge]
429	ZyB233	万一呢
430	轻羽_洛	凑个分母
431	弑君者official	阿哲
432	中野コッコロ	万一呢
433	漫漫-_	[热词系列_好耶]万一捏
434	-星月幽魂-	当分母来了[doge]万一中了呢
435	粽桶	孩子在吉林，上海没朋友，馋这个游戏卡垫好久了呜呜呜
436	苏维埃骑兵军de孙伯灵	卡套冲冲冲，新入坑的萌新缺东西
437	脑内分裂	挺好的，但是要阳寿的事我不干[doge]
438	落叶流羽	我来组成分子
439	yyl别吵	万一呢
440	小巫师隆	万一呢 [doge]
441	不会终结的神话	万一呢[doge]
442	白日yf	万一呢？
443	GNK48-不太会说话	[热词系列_三连]万一呢
444	葬××	up有稳定的日版预订渠道吗？更想知道这个
445	少白野老	你说万一呢[doge][doge][doge]
446	惘然若失-情成追忆	唔
447	半疯51413	万一呢 是不[doge]
448	葬××	万一呢？[tv_doge]
449	FFF团火系魔导师先锋官	抽我[doge]
450	鄧非宅菌	"万一呢
[崩坏3_七][崩坏3_十][崩坏3_米][崩坏3_长][崩坏3_刀]"
451	回想往事	我就是万一[doge]
452	晴王藕霸	分母+1
453	今天挖孔了没	黑魔导，我的黑魔导[打call]
454	白灰之梦	万一呢
455	神奇猫猫sp	万一呢
456	究极融合	万一呢[doge]
457	苍0月冷	万一呢
458	正义存与心	万一呢
459	EA-Alter	[藏狐]
460	时雨苍燕_	万一呢[大笑]
461	桐蛆-我的桐蛆-嘿嘿嘿	你说万一呢[doge][doge][doge]
462	你的就是我的安度因	万一中了呢
463	么灰のXX	万一呢[doge]
464	woooooooooolf	来了
465	彬彬鳄鱼	屡败屡抽
466	忍住_要省钱	万一呢
467	尘安的小号	万一呢
468	安慕希zhen好喝	蹲一蹲
469	从零开始的虚无缥缈	中
470	阿古茹打不过如来佛祖	来了
471	W剑少	好耶~
472	醉空欢	冲！
473	帅气的汪健哥哥	来了来了
474	爱喝冰可乐的熊先生	[doge]一年后 以后我就是百万UP的老粉了
475	林林林林林寂	[热词系列_好耶]
476	故人不知君	好耶
477	比比牛不牛	我来组成分母，但是万一呢[doge]
478	Jiervs	为了我一个朋友的黑魔导卡组，给我欧黑魔术女孩，冲[冰墩墩]
479	天邪HTC	万一呢
480	梦痕CJY	我想要[妙啊]
481	彼岸花与猫眼石	我去！我也想要！
482	bili_88039876676	万一呢[doge]
483	葱葱葱葱葱葱葱丶	万一呢冲冲冲
484	oldq	万一中了呢
485	林妹想找女朋友	万一呢
486	Devil_輝	万一呢[阴险]
487	姬天帅	来当分母[doge]
488	迹云丶	想要！！万一呢！！
489	霍华德-梅森少校	好家伙，刚准备入实卡坑，就给我推抽奖[doge]。
490	你长的真像金矿	万一呢万一呢！
491	BC跃迁	抽
492	米希睡着了	万一
493	magic_toby	万一呢
494	落樱夕颜	[doge]
495	一千零一页	中我中我[tv_斜眼笑]
496	罪人的未来	抽个看看
497	关于臭鼬的一已之见	万一呢
498	小喧2	万一呢
499	-影迷-	也许呢
500	裤子じゃない	万一呢？？？！
501	快的一批佛蒙特	有没有可能？
502	D77小粉丝	抽我抽我[打call]
503	龙井居士	加油
504	c32c	分母集合
505	我记佐不记鼬哟	那肯定是万一呢[doge][滑稽]
506	luoen763	[热词系列_知识增加][热词系列_三连]
507	好吃的橙子鸭	给孩子中吧
508	丑角あるるかん	万一呢[doge]
509	了反搞字名你	万一（
510	龖雦组长	[热词系列_知识增加][热词系列_三连]
511	呆呆杲杲呆呆	万一呢
512	蛇食	万一呐[OK]
513	吸膳	万一呢
514	帽子看狮子	许愿
515	黑白熊阿	来了来了[打call][打call]
516	呆呆杲杲呆呆	万一呢
517	大爱洛爱	这不试着白嫖一下[doge]
518	林阿奇博尔德	万一呢[脱单doge]
519	菜鸟决斗者	支持
520	老司机阿颐	三连抽奖
521	黎明与白昼的距离	万一呢
522	萌新小包	万一呢
523	努力对鸽子	哇，应该不可能吧[崩坏3_哭哭哭]
524	hcler	万一呢[doge]
525	幻夜紫烟	中中中
526	乔治君一定翻我	转发在我QQ，微信，B站朋友圈了，求中[给心心][给心心][给心心][给心心]
527	ShepherdJoey	[doge]万一呢
528	雪之细绵	万一呢
529	mid只会阿巴阿巴	分母有理化
530	一条想不好名字的咸鱼	不信谣，不传谣（万一呢？[doge]）
531	神崎丶Aria	万一呢[坎公骑冠剑_送花]
532	黎明之前夜不能寐	tfl[抓狂]
533	路过的AndyFei	万一那
534	天使之梦げ	万一呢
535	爆皮皮虾	万一呢[嗑瓜子]
536	为了生活努力wow	万一呢
537	折纸かみ千鸢	万一呢
538	魏叶昶	抽
539	别看了是小白	万一呢
540	玩卡的穷狗子	好耶
541	布丁永远嘚神	万一呢[doge]
542	硅与sl	冲冲冲
543	歌姬ba	我的回合，抽奖[doge]
544	星乃一歌我滴帅歌	万一呢[doge]
545	凉凉加冰	万一呢
546	我是四十二呀	我来了来了
547	丨凶荒丨	好运来
548	风の残响	万一呢[doge]
549	一笔之画	万一呢[小电视_笑][小电视_笑]
550	很勇的233	那个套组入手过，厂伤。。有点严重ww
551	这你猜啊	万一怎么说，万一
552	特别保护废物	万一呢
553	马歇尔艾琳	选我啊，选我我需要！！球球了呜呜呜[委屈][委屈][委屈]
554	vanvandark游戏	万一呢[doge]
555	江一琰	[热词系列_三连]
556	归墟ii	这辈子没中过奖   寿命还够  中一次吧[doge]
557	Rikkanojo	白送我（理直气壮）
558	蓝魄之瞳	确实，万一呢[吃瓜][吃瓜]
559	小素材	哈哈哈哈哈哈牛的
560	哈哈哈哈哈等待	分母集合
561	鲦条SAMA	我也可以拥有嘛？？？
562	怒叹	什么抽奖
563	小明是女生funny	等up主拿到百大后，我就是老粉了[OK]
564	辉煌零式	[雪容融][冰墩墩][雪容融][冰墩墩]
565	小明是女生funny	万一呢[doge]
566	三万经济一秒倒	冲
567	玲爱酱	必中啊  混蛋
568	我是传说中的使魔球	万一呢
569	草莓牛奶巫小坏	给我！
570	白龙的神秘盖牌	万一呢[doge]，我想要青眼白龙[妙啊]
571	乄流年亦梦乀	中中中，万一呢[doge]
572	小雄qaq	想问一下，现在买些1-2年前的盒子值吗
573	快乐张三	来当分母了[未来有你_打call]
574	一条想不好名字的咸鱼	万一呢[doge][doge]
575	Awsderf	万一呢
576	wzwugui	万一呢
577	Tclwy	没中过奖，来试试运气[doge][脱单doge]
578	猎狗大师	这才多少人就抽奖
579	Red_soul	万一呢
580	快乐的肥宅型哲学家	万一呢[doge]
581	梨树w	康康我呜呜呜
582	以德服人-孔子	想要黑魔导套组[大笑]
583	折磨的工具罢了	万一呢
584	辉雪DawnSnow	万一呢[冰墩墩][doge]
585	bV338et9k	万一呢[doge]
586	下次也-不一定-	万一
587	唐门西卡	万一呢嘻嘻
588	小雄qaq	万一呢[doge]
589	开心快乐的肥酱	万一呢[doge]
590	坏坏龙史矛革	来了来了
591	哆啦b莔	万一呢？[doge]
592	一夜无可	万一呢[doge]
593	吻寒虾丸	我就看看[脸红]
594	止水丶不止步	黑魔导[doge]
595	向异Rachel	求中奖
596	亲爱地达瓦里西	万一呢[脱单doge]
597	魂有所归	万一呢[doge]
598	咖喱芝巴	万一呢
599	我是小兵008	1000粉还是有点难的
600	易雨风	我有机会吗？
601	谭昱牛志军呀	抽到我发视频表白[脱单doge][脱单doge]
602	谭昱牛志军呀	万一呢
603	琴棋书画我牌最劲	抽奖怎么说？抽奖[傲娇]
604	Atc白黎	[doge]万一呢[原神_欸嘿]
605	毛毛熊吉	关注评论转发，即可参与，万一呢
